id,trip,r,t,g,b,n,m,c,v,G,boy,girl
106,2,-0.040834004717033884,-0.3327769028504776,-0.8007055336935757,-0.2698129132122956,0.03595561953904896,-0.36299257946343577,-0.7310221726599817,-1.1706014476516409,boy,1,0
106,3,-0.6707810328547174,-0.23224374664874306,0.07760146655746374,0.2516019567278112,-0.5300615931896524,0.1621082154874355,0.6784204639290372,-0.916100635198102,boy,1,0
107,1,0.04915842787406377,1.5590743093094361,,-0.6162679762954231,-0.0014573284723631208,-1.3388874530985455,-1.4425567146372211,,boy,1,0
107,2,1.1890625740279672,0.6542759034938251,0.21272562044223906,-0.5002055301625755,-0.5083510001190338,-0.8732320311609805,0.2319926889466969,0.6559294542145353,boy,1,0
107,3,0.7191020927189018,0.6999727926764318,0.2802876973846267,0.3797903300685685,-0.5629392172456416,-0.3184085497034561,1.5800725175649009,,boy,1,0
107,4,0.7890962069564221,0.7365303040225171,0.5505360051541772,0.6725448583738113,,0.04817125054526535,1.0686845024560343,-0.4747572206027023,boy,1,0
108,1,-0.4008037350814245,-0.7897457946765437,,-0.6474489319729048,-0.1457247290654924,-1.0565219312853409,-0.5652087040985525,1.177692236226664,boy,1,0
108,2,-0.4607986901421562,-0.2505225023217857,-0.6655813798088003,-0.24382878348106105,-0.262618881137085,-0.5908665093477761,0.19235837119637955,-0.25902143256261584,boy,1,0
109,1,2.028991944878212,0.6999727926764318,,0.9202602284782472,1.3616664372733744,-0.20447158476128596,0.4395134303672991,0.8345856536852322,boy,1,0
109,2,0.33913404400093394,0.014519454937332638,1.3612809284628289,2.1276561233229465,0.5427733867980405,0.22155358850074167,2.681251714097981,1.3484028095753484,boy,1,0
109,3,0.6991037743653246,0.2704220343599296,2.239587928713868,3.0890689233786257,0.09853224131896876,0.7516081645360552,2.2813820103482536,-0.4174524019045545,boy,1,0
109,4,1.1090693006136585,1.4128442639250949,3.455705313676846,3.2605641796047733,-0.9010811887646644,1.346061894669117,1.337672325243269,-0.11455550307148665,boy,1,0
110,1,0.6191105009510155,-0.1682681017930938,,0.2221532763657456,-0.4835282152617058,-0.4917908876589325,-0.4036245644714903,-0.5961086013752506,boy,1,0
110,2,0.10915338293479554,-0.1317105904470085,-0.7331434567511881,0.5079787034093257,-0.4194385651356812,0.0035872207852857304,0.038920069250597863,-1.2462052840853322,boy,1,0
111,1,0.08915506458121827,-0.11343183477396587,,0.6240411495421733,0.02200344864053632,-0.44225307681451065,0.3814811146589032,,boy,1,0
